Hacked target, DeFi Exploit Name,Description, Amount of loss, Attack method, Time, Source,,,,,,
MetaLabz,,"MetaLabz tweeted: ""In order to ensure the supply we hold, we deployed an unaudited contract (token locker), but the contract has been exploited. The situation was then exacerbated by the liquidity attack, resulting in a total loss of slightly more than 400 BNB."" According to analysis, the reason is that the authorization check was bypassed.",400 BNB,Contract Vulnerability,2023-07-25,https://twitter.com/Meta_labz/status/1683576178039308288,,,,,,
BNO,,"BNO suffered a flash loan attack on BNBChain, resulting in a loss of about $500,000 due to business logic problems. The root cause of the attack is a problem with the reward calculation mechanism in the pool that supports NFT and ERC20 token rights. The pool has an ""emergencyWithdraw"" function that allows users to withdraw their ERC20 token stake immediately. Crucially, however, this feature does not process or interpret NFT stake records. Attackers exploited this flaw by depositing NFTs and ERC20 tokens into a pool and then executing the ""emergencyWithdraw"" function specifically for their ERC20 tokens. By doing so, an attacker can bypass the reward calculation check, effectively manipulating the system to his advantage. Through this manipulation, an attacker is able to clear a user's ""reward debt,"" earn undeserved rewards, and cause significant financial damage to the mining pool and its users.","500,000",Flash Loan Attack,2023-07-18,https://blog.solidityscan.com/bno-hack-analysis-15436d73e44e,,,,,,
GMETA,,"GMETA on BSC has been Rug Pulled, with a price drop of 96%, taking about $3.6 million. The contract creator is 0x9f02c29ad35fd20a51cd48250512a7b7feeb8ed1.","3,600,000",Rug Pull,2023-07-18,https://twitter.com/BeosinAlert/status/1681240663868973056,,,,,,
APEDAO,,"APEDAO on the BNB chain was attacked and the loss was approximately $7,000. The attacker transferred APEDAO to the pair contract. The APEDAO contract mistook the attacker's behavior as a selling operation and gradually accumulated a value named ""amountToDead"". The attacker repeatedly transferred APEDAO and then used the skim function to withdraw excess tokens. Eventually, the attacker calls the godead function to destroy APEDAO held in the pairing contract, causing the token price to rise.","7,000",Contract Vulnerability,2023-07-18,https://twitter.com/BeosinAlert/status/1681316257034035201,,,,,,
WGPT Token,,"On July 12th, WGPT Token suffered from a flash loan attack, resulting in losses of ~$82.5k. Address (BSC): 0x1f415255f7E2a8546559a553E962dE7BC60d7942.","82,500",Flash Loan Attack,2023-07-12,https://bscscan.com/address/0x1f415255f7e2a8546559a553e962de7bc60d7942,,,,,,
Encryption AI,,"Encryption project Encryption AI (0XENCRYPT) crashed 99% as the developers behind it performed a retreat. Losing a total of $2 million, the developer released a message citing his online gambling addiction.","2,000,000",Rug Pull,2023-07-03,https://beincrypto.com/encryption-ai-rug-pulls-2m/,,,,,,
Biswap,,"BiSwap, a BSC cross-chain trading platform, said: ""The team detected and resolved the Migrator contract vulnerability. The assets on the Biswap V2 and V3 AMM protocols are safe. The team prevents access to the migration process through the website, because the Migrator contract has been exploited, do not try to access directly This contract, if you have not already done so, please withdraw your approval of these contracts. The results of this vulnerability are being reviewed in more detail and a report will be issued later. User funds are safe and the above vulnerability has nothing to do with AMM V2 and V3 funds.” This time The attack has caused approximately $710,000 in damage.","710,000",Contract Vulnerability,2023-07-01,https://twitter.com/Biswap_Dex/status/1674871633461272578,,,,,,
Shido,,"Shido has been exploited for ~976 $BNB (~$238.5K). The exploiter transferred 1 $BNB to Tornado Cash and bridged the stolen funds to Ethereum, subsequently transferring 125 $ETH to Tornado Cash.","238,500",Contract Vulnerability,2023-06-24,https://panewslab.com/zh/sqarticledetails/5y6bi4cv.html,,,,,,
Ara,,"The Ara project was attacked by a flash loan. The attackers are suspected to have made about $124,000 in BUSD. attacker address: 0xF84efA8a9F7E68855CF17EAaC9c2f97A9d131366.","124,000",Flash Loan Attack,2023-06-19,https://bscscan.com/address/0xf84efa8a9f7e68855cf17eaac9c2f97a9d131366,,,,,,
VPANDA DAO,,"Seems like @VPandaCommunity rugged for ~265K $BSC-USD $VPC has dropped -97.4%, the stolen funds has already been transferred to 0x33d2a4...af65","265,000",Rug Pull,2023-06-19,https://foresightnews.pro/news/detail/24933,,,,,,
Midas Capital,,"Cross-chain money market solution Midas Capital has been hacked, causing losses of more than $600,000 after an integer rounding problem in its lending protocol (derived from a fork of the well-known Compound Finance v2 codebase) was exploited. The same situation was also exploited in the previous attack on Hundred Finance. The attacker deposited 400 BNB into Tornado Cash, and some other proceeds were bridged to Ethereum.","600,000",Contract Vulnerability,2023-06-18,https://www.panewslab.com/zh/articledetails/7xmbgnkh.html,,,,,,
Atlantis Loans,,"A governance attack on the BSC eco-protocol Atlantis Loans, in which attackers gained control of the contract and replaced it with a contract containing backdoor functionality to transfer user assets, is currently costing approximately $1 million. The attackers created the malicious governance proposal in the GovernorBravo contract on June 7, 2023.","1,000,000",Governance Attack,2023-06-11,https://bscscan.com/address/0xEADe071FF23bceF312deC938eCE29f7da62CF45b,,,,,,
TrustTheTrident,,"TrustTheTrident ($SELLC) suffered an attack that resulted in approximately $95,000 in losses.","95,000",Contract Vulnerability,2023-06-11,https://bscscan.com/address/0x4beb05bf9bd4585ae2f4feb74112f18b423abb84,,,,,,
USEA,,"A Rug Pull occurred on the USEA token on BNB Chain with a loss of about $1.1 million, and the deployer minted a total of 700 million USEAs via the mint function, then transferred them to EOA addresses and sold 1114468 BUSD via PancakeSwap V3.","1,100,000",Rug Pull,2023-06-07,https://bscscan.com/address/0x11eb8c55603b9720804db178b788f69f7b7a5dc7,,,,,,
NFDAO,,"NFDAO (NFD) bulk liquidity has been removed. The deployer's associated wallet removed the liquidity and made a profit of about $88,300. bsc address: 0xe1AFC0A3c9aA2537DEea233EF7dc0952ceEDfDA3.","88,300",Rug Pull,2023-06-06,https://bscscan.com/address/0xe1AFC0A3c9aA2537DEea233EF7dc0952ceEDfDA3,,,,,,
DD Coin,,"DD Coin was attacked and lost about 126,000 USDT. The attacker initially received 1 BNB of funds from Tornado Cash about 17 days ago. DD Coin has lost 21%.","126,000",Flash Loan Attack,2023-06-01,https://bscscan.com/tx/0xd92bf51b9bf464420e1261cfcd8b291ee05d5fbffbfbb316ec95131779f80809,,,,,,
BlockGPT,,"The Rug Pull of the BSC project BlockGPT occurred, involving assets of over 816 BNB (about 256,000 US dollars), and 800 BNB have been transferred to Tornado Cash so far.","256,000",Rug Pull,2023-05-30,https://bscscan.com/tx/0x32e5950668b507a95d6ee75ea269a0478dc21abb0e3d37ffdeee17bdc4360fe2,,,,,,
CS Token,,"CS Token was hacked and a total of 714,000 USDT was stolen. The hacker initially transferred 1 BNB from Tornado Cash, and then transferred 383 ETH to Tornado Cash.","714,000",Contract Vulnerability,2023-05-24,https://bscscan.com/tx/0x906394b2ee093720955a7d55bff1666f6cf6239e46bea8af99d6352b9687baa4,,,,,,
Swap-LP,,"The Swap-LP contract on BNB Chain (0xe0c352c56af65772ac7c9ab45b858cb43d22f28f) has been attacked with a loss of approximately $1.1 million. The attacker (0xdead) transferred the stolen funds to Tornado Cash. specifically, the attacker manipulated a low-level call in the Swap-LP factory address to trigger the 0x33604058 function of the SwapLP pair. This causes all WDZD tokens in the pair to be transferred to the factory address. As a result, the attacker is able to use fewer WDZDs to obtain more SWAP LPs from the unverified address 0x3c4e06d17e243e2cb2e4568249b6f7213c43c743 and subsequently destroy the LPs for profit.","1,100,000",Contract Vulnerability,2023-05-20,https://bscscan.com/address/0xdEAd40082286F7e57a56D6e5EFE242b9AC83B137,,,,,,
WDZD Swap,,The DeFi protocol WDZD Swap on BSC was exploited and lost about $1.1 million. The attackers made nine malicious transactions that drained 609 Binance-Pegged ETH from contracts related to the WDZD project.,"1,100,000",Contract Vulnerability,2023-05-19,https://web3isgoinggreat.com/?id=wdzd-swap-exploited-for-1-1-million,,,,,,
land,,"The DeFi protocol land was suspected of being attacked and lost about 150,000 US dollars. The reason for the attack was the lack of mint permission control.","150,000",Contract Vulnerability,2023-05-15,https://bscscan.com/address/0x2e599883715d2f92468fa5ae3f9aab4e930e3ac7#tokentxns,,,,,,
LW,,"The LW token on BSC was attacked, with a loss of 48,415 USDT, and the price of LW token plummeted by 69%. The attackers have transferred about 150 BNB to Tornado Cash.","48,415",Contract Vulnerability,2023-05-12,https://www.panewslab.com/zh/sqarticledetails/4jq3adah.html,,,,,,
SNK,,"The SNK project was attacked. The hacker used SNK's invitation reward mechanism to make a profit of 190,000 US dollars.","190,000",Reward Mechanism Flaw,2023-05-10,https://www.panewslab.com/zh/sqarticledetails/iizfq6j2.html,,,,,,
Neverfall protocol,,"Neverfall protocol Hacked, $75,000 Lost. The attackers have deposited funds into TornadoCash.","75,000",Contract Vulnerability,2023-05-04,https://twitter.com/hexagate_/status/1653663881191993344,,,,,,
LEVEL Finance,,"LEVEL Finance, a project on BNB, was hacked and lost $1 million. The hackers created an unverified contract 7 days before the attack, used a delegate function to extract LVL tokens in 15,000 increments, converted 214,000 LVL tokens into 3,345 BNB and transferred them to Tornado Cash.","1,000,000",Contract Vulnerability,2023-05-02,https://twitter.com/level__finance/status/1653140756540825638?s=46&t=DLwbX9Nw4QECiyZQ0av-fg,,,,,,
MetaPoint,,"MetaPoint ($POT) on BSC was hacked with a loss of $920K.
The root cause is that users will create a new contract to hold their funds each time they deposit $POT, but the contract has a public approve function to transfer all users' assets.","920,000",Contract Vulnerability,2023-04-12,https://twitter.com/BeosinAlert/status/1645976721378934785,,,,,,
Safemoon,,"Safemoon, a DeFi protocol based on the BNB chain, was attacked, and its liquidity pool lost nearly $8.9 million. Safemoon CEO John Karony said on Twitter: ""This security incident affected the SFM:BNB LP pool and other LP pools on DEX were not affected. We have located the suspected vulnerability and fixed it. "" According to analysis, the recent update may have introduced a ""public destruction vulnerability"", which facilitated hacker attacks. The hacker was able to use code functionality to artificially inflate the price of SFM tokens, then sell enough tokens back to the liquidity pool in the same transaction, effectively draining WBNB from the contract. On April 20, the SafeMoon attacker returned 80% of the stolen funds, that is, transferred 21,804 BNB (approximately $7.2 million) to the SafeMoon vault wallet, leaving the remaining 20% as a bounty.","8,900,000",Contract Vulnerability,2023-03-29,ttps://twitter.com/CptHodl/status/1640914110350016512,,,,,,
FASTSWAP,,The FASTSWAP (FAST) project on BNB Chain was attacked by a flash loan and lost 26.77 BNB,26.77 BNB,Flash Loan Attack,2023-03-24,https://foresightnews.pro/news/h5Detail/20030,,,,,,
Harvest Keeper,,"According to news, the Harvest_Keeper project maliciously transferred user funds, involving an amount of about 933,000 US dollars. Through the data on the chain, it was found that the attacker used the owner authority to transfer the USDT pledged by the user in the HarvestKeeper contract by calling the getAmount function, and then the attacker used the user's token authorization to the EOA account to transfer the user's funds through the EOA multiple times.","933,000",Insider Manipulation,2023-03-19,https://www.panewslab.com/zh/sqarticledetails/7urkn6lh.html,,,,,,
LaunchZone,,"80% of the funds in the liquidity pool of the DeFi project LaunchZone were suddenly drained, the price of LZ tokens fell by more than 80% from the previous value of around US$0.15 to US$0.026, and the stolen funds were about US$700,000.","700,000",Contract Vulnerability,2023-02-27,https://twitter.com/launchzoneann/status/1630161294836768771,,,,,,
DungeonSwap,,"The DeFi project DND Token (DungeonSwap Token) on BSC has been utilized. The initial funds came from TornadoCash, and the attackers stole over 2,400 BNB (approximately $728,000) from Dungeonswap.","728,000",Contract Vulnerability,2023-02-27,https://twitter.com/MetaSleuth/status/1630210958084952065,,,,,,
BABYDOLL,,"The Baby Doll (BABYDOLL) project was hit by a flash loan attack, losing 25 BNB (~$7,900). BSC contract address is 0x449cfecbc8e8469eeda869fca6cccd326ece0c04a1cdd96b23d21f3b599adee2","7,900",Flash Loan Attack,2023-02-19,https://www.panewslab.com/zh/sqarticledetails/o9vi6cpj.html,,,,,,
fcdep(EPMAX),,"The project fcdep (EPMAX) on BSC was attacked by flash loan, and the loss was about 350,000 US dollars.","350,000",Flash Loan Attack,2023-02-11,https://twitter.com/HypernativeLabs/status/1624115631401336845,,,,,,
LianGoPay,,"The LianGoPay project announced on February 7 that its assets in the LGTPool pledge contract on the BNB Chain were stolen, 6,148,859 LGT reward coins were stolen, and the loss was about 1.6 million US dollars. According to analysis, the reason for the theft was that the owner administrator of LGTPool created a fake LP token pledge pool (Pool No. 3), and then the thief put a large amount of LP tokens into the pool for pledge, and obtained 6.14 million pieces LGT reward token.","1,600,000",Leveraging fake LP staking pools,2023-02-07,https://www.panewslab.com/zh/sqarticledetails/tycwc1sv.html,,,,,,
Orion Protocol,,"Orion Protocol, an exchange aggregation platform, suffered a reentrancy attack and lost about $3 million in assets. The attackers have transferred some of the cryptocurrency to Tornado Cash. Orion Protocol CEO Alexey Koloskov tweeted that no users suffered any losses in the incident and all users’ funds are safe, including staking, Orion Pool, bridges, and liquidity providers. Assets at risk are held in in-house brokerage accounts run by the Orion team. This problem is not caused by a flaw in the core protocol code, but may be caused by a bug in a mix of third-party libraries in its experimental and smart contracts used by private brokers.","3,000,000",Reentrancy Attack,2023-02-03,https://www.coindesk.com/business/2023/02/02/orion-protocol-loses-3m-of-crypto-in-trading-pool-exploit/,,,,,,
BEVO,,"The BEVO NFT Art Token (BEVO) on BSC was exploited with a total loss of approximately $45,000. The root cause is that BEVO is a deflationary token, and the attacker calls the function deliver(), the value of _rTotal will decrease, which will further affect the return value of getRate() used to calculate the balance. After the attacker manipulates the token balance, he calls the function skim to transfer the increased PancakePair balance to his own account. Finally, the attacker calls the function deliver() again and exchanges the increased BEVO back to WBNB.","45,000",Reward Mechanism Flaw,2023-01-30,https://twitter.com/BlockSecTeam/status/1620030206571593731,,,,,,
FFF,,"It is reported that the FFF token deployed on the BSC has an abnormal additional issue event. This event is that the administrator of the original project party purchased the additional issue through the pre-set additional issue contract, and then sold the additional issued tokens and transferred the acquired assets in part. More than US $1.03 million of FFF tokens were sold in this issue.","1,030,000",Insider Manipulation,2023-01-20,https://www.panewslab.com/zh/sqarticledetails/11pl2td6.html,,,,,,
Thoreum Finance,,"Thoreum Finance was hacked. According to analysis, because the transfer function of the non-open source contract 0x79fe created by the Thoreum Finance project party is suspected to have a loophole, when the from and to addresses of the transfer function are the same, due to the use of temporary variables to store the balance, the balance will double when you transfer to yourself , the attacker repeated the operation many times, and finally made a profit of 2,000 BNB, involving an amount of about 580,000 US dollars.","580,000",Contract Vulnerability,2023-01-19,https://www.panewslab.com/zh/sqarticledetails/chr92pfw.html,,,,,,
OMNI Real Estate Token,,"The OMNI Real Estate Token (ORT) project on BSC was attacked. The cause of the attack is suspected to be a loophole in the contract code. The attacker’s address is: 0x9BbD94506398a1459F0Cd3B2638512627390255e, one of the attack contracts is 0x0eFfECA3dBCBcda4d5e4515829b0d42181700606, the initial gas source of the attack is FixedFloat, and the attacker made more than 236 BNB, worth about $57.","70,705",Contract Vulnerability,2023-01-17,https://www.panewslab.com/zh/sqarticledetails/t730u0t3.html,,,,,,
RoeFinance,,"RoeFinance was attacked. The victim pool (0x574f) has just been emptied, with a total loss of about $80000. This is a typical price manipulation attack.","80,000",Price Manipulation,2023-01-12,https://twitter.com/BlockSecTeam/status/1613267000913960976,,,,,,
BRA,,"The price of BRA token on BNB Chain is zero. According to the analysis, the token will be taxed during the transaction, and the tax collected will be directly sent to the transaction pair, and the tax will be added twice. Under this mechanism, after many such transactions, the number of tokens in the transaction pair continues to increase. At the same time, any user can call the skim function to retrieve the extra tokens in the transaction pair, which results in the actual number of tokens exceeding its issuance limit. This BRA token attack has caused 820 WBNB losses. The address of the attacker (0xE2Ba15be8C6Fb0d7C1F7bEA9106eb8232248FB8B).",820 WBNB,Taxation Mechanism Flaw,2023-01-10,https://www.panewslab.com/zh/sqarticledetails/ql0656re.html,,,,,,
Mycelium,,"Mycelium, a perpetual agreement, tweeted that due to the oracle feeding problem of the ETH-USD trading pair, MLP suffered a loss of 4~6% from robot arbitrage (the current pool size is about $6.6 million, and the estimated loss is about $300,000), but the team has fixed the loophole and resumed trading. The reason for this is that due to the fact that Binance began blocking US IPs in late December, one of Mycelium's three oracle data vendors went offline, and the other vendor also seemed to have gone wrong overnight, resulting in prices relying only on Coinbase and Bitfinex. Coinciding with about 4 pm yesterday, Bitfinex's ETH-USD feed price fluctuated significantly, and the spread was extremely large, perhaps the arbitrage robot detected the spread and began to arbitrage at a higher than usual amount, resulting in a loss of MLP.","300,000",Oracle Attack,2023-01-07,http://yjzljc.com/kuaixun/12696198.html,,,,,,
NimbusPlatform,,"The NimbusPlatform project on the BSC chain was attacked, and the attacker made a profit of about 278 BNB. According to the analysis of SlowMist, the main reason for this attack is that the calculation of rewards only depends on the number of tokens in the pool, which leads to being manipulated by flash loans, thereby obtaining more rewards than expected.",278 BNB,Contract Vulnerability,2022-12-14,https://twitter.com/SlowMist_Team/status/1602942551753101312,,,,,,
Ankr,,"Ankr's deployer key was suspected to be leaked, and hackers minted a total of 60 trillion aBNBc. According to MistTrack analysis, some funds have been cross-chained from BSC to ETH and Polygon. The hacker used Celer Network, PancakeSwap, Multichain, deBridge, 1inch, PancakeSwap, SushiSwap, ParaSwap in the process of transferring funds, and 900 BNB has been transferred to Tornadocash so far. The Ankr team stated, “Our aBNB tokens (the proof tokens for BNB pledges) have been stolen and we are currently working with exchanges to stop trading immediately. Currently all underlying assets on Ankr pledges are safe and all infrastructure Services will not be affected.""","5,000,000",Private Key Leakage,2022-12-02,https://twitter.com/ankr/status/1598624443642703872,,,,,,
Helio,,"After the attack on Ankr’s aBNBc token, an address exchanged 10 BNB for 15.5 million BUSD with the help of the Ankr vulnerability, resulting in the emptying of the Hay liquidity pool. Another user made a profit through the same method, with an income of about $3.5 million. Helio Protocol tweeted that the BNB pledged by users is safe, and the official is in close communication with the Ankr team to discuss the restart plan of aBNBc.","19,000,000",The impact of the Ankr vulnerability,2022-12-02,https://rekt.news/ankr-helio-rekt/,,,,,,
SheepFarm,,"The SheepFarm project on the BNB chain was attacked by a vulnerability. After analysis, it was found that because the register function of the SheepFarm contract could be called multiple times, the attacker 0x2131c67ed7b6aa01b7aa308c71991ef5baedd049 used the register function multiple times to increase his own gems, and then used the upgradeVillage function to accumulate yield while consuming gems properties, and finally call the sellVillage method to convert yield to money before withdrawing money. The attack caused the project to lose about 262 BNB, about $72,000.",262 BNB,Contract Vulnerability,2022-11-16,https://www.panewslab.com/zh/sqarticledetails/nmuct2g5.html,,,,,,
Ranger,,"The Ranger project on the BSC chain was an exit scam, and the Ranger token fell by 95%. The contract deployer sent the tokens to an external account, which was then sold for a profit of about $77,000. Do not confuse this project with similarly named tokens and symbols, refer to the contract address: bsc: 0xc9efd09c8170e5ce43219967a0564a9b610e5ea2.","77,000",Rug Pull,2022-11-15,https://www.panewslab.com/zh/sqarticledetails/3b6ha25t.html,,,,,,
DeFiAI,,"Rug pull occurred in the DeFiAI project, and the contract deployer made a profit of about 40 million US dollars. According to SlowMist MistTrack analysis, funds have been transferred to Fixedfloat and MEXC.","40,000,000",Rug Pull,2022-11-14,https://twitter.com/MistTrack_io/status/1592023899558285312,,,,,,
Flare,,"The price of the Flare project has dropped by more than 95%, which is suspected to be a Rug Pull scam project. Flare token deployers and associated addresses received approximately 4 billion Flare tokens. The scam has so far made around $18.5 million.","18,500,000",Rug Pull,2022-11-14,https://bscscan.com/address/0x6548a320d3736920CaD8a2cfbFEfDb14dB6376eA,,,,,,
MooCakeCTX,,"The MooCakeCTX project suffered a flash loan attack, and the attackers made a profit of $143,921. According to Fairyproof’s analysis, the suspected reason is that the contract reinvested (the earn function was not called) before the user pledged (depositAll function) without settlement of the reward, that is, when the user pledged, the contract did not settle the previous reward and conduct new investment. This will cause users to get the previous pledge dividends immediately after the pledge. After the attacker borrows 50,000 cake tokens using a flash loan in the same block, he pledges it twice in a row, and then withdraws the pledged cake tokens and returns them to make a profit.","143,921",Flash Loan Attack,2022-11-07,https://www.panewslab.com/zh/sqarticledetails/vb6aozpr.html,,,,,,
FITE,,"The FITE (FTE) project is suspected of Rug pull, its website fit[.]app has been shut down, and social media has been deleted. Scammers have transferred 1900 BNB to Tornado Cash.",1900 BNB,Rug Pull,2022-11-01,https://www.panewslab.com/zh/sqarticledetails/omf9a0dp.html,,,,,,
UvToken,,"The UvTokenWallet Eco Staking mining pool contract was hacked. The key reason for the vulnerability is that the mining pool contract withdrawal function does not strictly judge the user input, so that the attacker can directly pass in the malicious contract address and use the malicious contract to empty the relevant funds. SlowMist MistTrack conducted a traceability analysis of the funds: so far, hackers have transferred a total of 5,011 BNB of profit to Tornado Cash. In addition, the source of the attack fee is also Tornado Cash.","5,011 BNB",Contract Vulnerability,2022-10-27,https://www.odaily.news/newsflash/303069,,,,,,
Dataverse,,"Metaverse data platform Dataverse tweeted that it has detected hackers attacking the GEO BSC contract, and reminded users not to buy GEO in BSC, any code purchased on BNB Chian from October 19th to 22nd UTC Coins are invalid. It may be caused by the ""allow unlimited minting"" vulnerability in the minting function of BGEO (Binance GeoDB Coin).",-,Contract Vulnerability,2022-10-19,https://twitter.com/data_verse/status/1582820158699343873,,,,,,
PLTD,,"The PLTD project was attacked by hackers, all BUSD in its trading pool was sold out, and the attackers gained a total of 24,497 BUSD. This attack mainly exploits the code loopholes in the PLTD contract, reduces the PLTD token balance in Cake-LP (0x4397c7) to 1 through a flash loan attack, and then uses the PLTD in hand to exchange all BUSD into the attack contract .","24,497 BUSD",Flash Loan Attack,2022-10-18,https://www.panewslab.com/zh/sqarticledetails/p4ochu0v.html,,,,,,
MTDAO,,"The unopened contract 0xFaC064847aB0Bb7ac9F30a1397BebcEdD4879841 of the MTDAO project party was attacked by a flash loan, and the affected tokens were MT and ULM, with a total profit of 487,042.615 BUSD. The attacker used the functions 0xd672c6ce and 0x70d68294 in the unopened contract to call the sendtransfer function in the MT and ULM token contracts to profit (because they are both deployed by the project party, the unopened contract 0xFaC06484 has minter permission).","487,042.615 BUSD",Flash Loan Attack,2022-10-17,https://www.panewslab.com/zh/sqarticledetails/spqk6wao.html,,,,,,
The Micro Elements,,"The Micro Elements (TME) project is an exit scam, with a drop of more than 95%, and about $548,600 has been stolen. BSC address 0xd631464f596e2ff3b9fe67a0ae10f6b73637f71e.","548,600",Rug Pull,2022-10-11,https://twitter.com/CertiKAlert/status/1579707616002908160,,,,,,
Jumpnfinance,,"Jumpnfinance project Rugpull, involving an amount of about 1.15 million US dollars. The attacker first calls the 0x6b1d9018() function of the 0xe156 contract to extract the user assets in the contract and store them at the attacker's address (0xd3de02b1af100217a4bc9b45d70ff2a5c1816982).","1,150,000",Rug Pull,2022-10-09,https://bscscan.com/address/0xd3de02b1af100217a4bc9b45d70ff2a5c1816982,,,,,,
BNBChain,,"BNBChain was attacked and lost more than 500 million US dollars. According to SlowMist, the hacker’s initial source of funds was ChangeNOW, and the hacker’s address has interacted with multiple DApps, including Multichain, Venus Protocol, Alpaca Finance, Stargate, Curve, Uniswap, Trader Joe, PancakeSwap, SushiSwap, etc. Analyst @samczsun posted a post explaining how hackers used Binance Bridge to steal BNB. The attackers stole 1 million BNB twice, but both used the height of 110217401, which is much lower than the normal height. Furthermore, the proof submitted by the attacker is shorter than the legitimate proof, showing that the attacker forged the proof for that particular block. The specific method is to add a new leaf node when the COMPUTEHASH function generates a hash, and then create a blank internal node to satisfy the prover, and exit early after finding a matching hash with the internal node. So far, only two fake verifications have been generated in this way.","2,000,000 BNB",Pseudo-authentication,2022-10-06,https://twitter.com/SlowMist_Team/status/1578220472373649408,,,,,,
Transit Swap,,"According to official news, Transit Swap, a cross-chain trading platform aggregator supported by TokenPocket, was hacked. According to the analysis of SlowMist MistTrack, the stolen assets exceeded 28.9 million US dollars. The hacker's account address is 0x75f2aba6a44580d7be2c4e42885d4a1917bffd46. The largest attacker had returned 6,500 BNB (about $1.95 million) on October 10, and on October 13, the attackers returned 3,485 BNB (about $950,000).","28,900,000",Unchecked Input Data,2022-10-02,https://slowmist.medium.com/cross-chain-dex-aggregator-transit-swap-hacked-analysis-74ba39c22020,,,,,,
New Free Dao,,"The New Free Dao project on the BSC chain suffered a flash loan attack. According to SlowMist analysis, the main reason for this attack is that the way of calculating rewards in the contract is too simple, and it only depends on the balance of the caller, which leads to arbitrage by flash loans.","4,481 WBNB",Contract Vulnerability,2022-09-08,https://mobile.twitter.com/SlowMist_Team/status/1567854876633309186,,,,,,
DaoSwap,,"On September 5th, DaoSwap lost 580,000 USDT in an attack that allowed users to set the inviter’s address as themselves due to mining rewards that were larger than the fees charged during the swap process and lack of verification.","580,000",Reward Mechanism Flaw,2022-09-05,https://twitter.com/BlockSecTeam/status/1566606770650300416,,,,,,
ShadowFi,,"Privacy project ShadowFi suffered a hack, and its official TokenSDF fell 98.5%. The attacker exploited the vulnerability of SDF to allow anyone to burn the Token, making a profit of about 1078 BNB (about $300,000), and the stolen funds have been transferred to TornadoCash.","1,078 BNB",Contract Vulnerability,2022-09-02,https://twitter.com/PeckShieldAlert/status/1565549688509861888,,,,,,
CUPID,,"The attacker made a profit of $78,622 through a flash loan on BNB Chain, causing the token CUPID to plummet by more than 90%, and the token VENUS to rise by more than 300% and then fall back.","78,623 USDT",Flash Loan Attack,2022-08-31,https://twitter.com/BlockSecTeam/status/1564890919023034369,,,,,,
DDC,,"DDC was exploited and lost $104,600. The cause of the event is the problem of arbitrarily deducting pool fees.","104,600",Contract Vulnerability,2022-08-29,https://twitter.com/BeosinAlert/status/1564240190851383302,,,,,,
Kaoyaswap,,"Kaoyaswap on BSC appears to have been attacked, with hackers making 37,294 BUSD and 271.2 WBNB, caused by faulty logic in the Swap function.","118,000",Contract Vulnerability,2022-08-24,https://twitter.com/BlockSecTeam/status/1562286943957708800,,,,,,
Kaoyaswap,,"BSC DEX protocol Kaoyaswap was attacked, losing 37,294 BUSD and 271.2 WBNB. The reason for this attack is the Swap value flaw.","37,294 BUSD + 271.2 WBNB",Contract Vulnerability,2022-08-24,https://mp.weixin.qq.com/s/dWZexhFIxZKJRu1W-8nv5g,,,,,,
Blur Finance,,"Yield aggregator Blur Finance withdrew more than $600,000 in assets from BNB Chain and Polygon before deleting websites and social media accounts. The project, which has only been active for about a month, has amassed about 750 users on its initial BNB Chain implementation, which was announced on Polygon on August 5.","600,000",Rug Pull,2022-08-10,https://www.coindesk.com/tech/2022/08/10/more-than-600k-vanishes-from-defi-project-blur-finance-as-developers-disappear,,,,,,
EGD Finance,,"According to SlowMist, the EGD Finance project on BSC was attacked by hackers, resulting in the unexpected withdrawal of funds from its pool. The SlowMist security team analyzed this and said that this incident was because the price-feeding mechanism for calculating rewards when EGD Finance's contracts obtained rewards was too simple, resulting in the token price being manipulated by flash loans for profit.","36,000 BUSD",Price Manipulation,2022-08-08,https://www.panewslab.com/zh/articledetails/t3k6b3m6.html,,,,,,
Saxon James Musk,,"Saxon James Musk has Rug Pull. Project developers suddenly sold their token share for around 1355 WBNB (~$442,000), causing the token price to plummet by over 68%.","1,355 WBNB",Rug Pull,2022-08-07,https://twitter.com/CertiKAlert/status/1556151766076497921,,,,,,
DRAC Network,,"DeFi project DRAC Network appeared Rug Pull, with the price of the token $TEDDY dropping 99.4%. 10,000 $BNB and 2 million $BUSD have been slowly transferred to Binance. It is said that the deployer deployed the contract and transferred a large quantity of $TEDDY to 0xdbe8ef79a1a7b57fbb73048192edf6427e8a5552, then pump and dump the price of $TEDDY.","4,500,000",Rug Pull,2022-07-25,https://tokeninsight.com/en/news/peckshieldalert-defi-project-drac-network-appeared-rug-pull?at_medium=RSS,,,,,,
Raccoon Network & Freedom Protocol,,"Raccoon Network and Freedom Protocol are scam projects, scammers have transferred 20 million BUSD (IDO) to address 0xf800...469336.","20,000,000",Scam,2022-07-20,https://foresightnews.pro/news/detail/7414,,,,,,
SpaceGodzilla,,"SpaceGodzilla was attacked by price manipulation and lost approximately 25,000 USDT.",25000,Price Manipulation,2022-07-14,https://twitter.com/BlockSecTeam/status/1547456591900749824,,,,,,
